AMRH,Technology,Semiconductors,16.98,0.36,0.317,1.13447,84,0.41,32,-0.11,-0.07,0.16,-0.84,-0.04,0.07,71,\N,2019-07-05 17:35:23
ATAX,Finance,Finance: Consumer Services,444.74,7.01,6.729,1.04171,62,8.04,89,0.09,0.04,0.25,0.22,0.08,-0.047619,63,\N,2019-07-05 17:35:51
AMOV,Public Utilities,Telecommunications Equipment,50140,14.88,14.855,1.00169,48,\N,8,\N,\N,\N,\N,\N,\N,12,could not convert string to float: N/A,\N
AAL,Transportation,Air Freight/Delivery Services,13910,32.46,32.902,0.986576,43,0.32,30,0.39,1.22,0.74,0.69,0.41,0.0240964,68,\N,2019-07-05 17:36:16
AETI,Energy,Industrial Machinery/Components,6.34,0.76,0.796,0.954188,35,0.98,45,-0.35,-0.23,0.32,-0.15,-0.06,0.432836,86,\N,2019-07-05 17:36:38
AFIN,Consumer Services,Real Estate Investment Trusts,1130,11.25,11.194,1.005,49,4.01,77,0.15,-0.11,-0.26,-0.13,-0.03,\N,35,\N,2019-07-05 17:36:57
AFINP,Consumer Services,Real Estate Investment Trusts,30.47,25.16,0,0,2,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
AMNB,Finance,Major Banks,398.03,37.87,34.802,1.08816,75,5.75,85,0.67,0.69,0.66,0.57,0.69,0.166667,76,\N,2019-07-05 17:37:33
ANAT,Finance,Life Insurance,3060,124.02,126.25,0.982333,42,0.89,43,0.7,3.12,6.44,-4.37,9.6,0.637079,91,\N,2019-07-05 17:37:49
AOBC,Capital Goods,Ordnance And Accessories,459.79,9.1,10.489,0.867537,22,0.77,41,0.14,0.14,0.12,-0.1,0.18,0.142857,75,\N,2019-07-05 17:38:06
APEI,Consumer Services,Other Consumer Services,466.57,29.54,30.62,0.964731,38,1.65,56,0.28,0.39,0.33,0.55,0.06,-0.44898,49,\N,2019-07-05 17:38:26
AREC,Consumer Services,Other Consumer Services,64.35,3.536,5.456,0.648055,8,2.75,66,-2.93,-2.1,-2.49,-0.27,-0.48,\N,35,\N,2019-07-05 17:38:42
AMRB,Finance,Major Banks,74.07,12.3,13.102,0.938816,32,3.15,70,0.22,0.22,0.2,0.19,0.2,-0.666667,45,\N,2019-07-05 17:39:01
AMSWA,Technology,Computer Software: Prepackaged Software,413.65,13.38,12.192,1.09742,77,3.81,75,0.18,0.04,0.04,0.04,0.07,-0.785714,42,\N,2019-07-05 17:39:18
AMSC,Consumer Durables,Metal Fabrications,180.26,9.64,11.991,0.803957,16,3.66,74,-0.3,-0.23,1.1,0.83,-0.41,-0.0728477,62,\N,2019-07-05 17:39:33
